id,name,full_name,age,nationality,team_name,season
18886,M. Dúbravka,Martin Dúbravka,34,Slovakia,Newcastle,2021
18892,P. Dummett,Paul Dummett,32,Wales,Newcastle,2021
18894,J. Lascelles,Jamaal Lascelles,30,England,Newcastle,2021
18896,Javi Manquillo,Javier Manquillo Gaitán,29,Spain,Newcastle,2021
18911,N. Pope,Nicholas David Pope,31,England,Burnley,2021
18941,M. Targett,Matthew Robert Targett,28,England,Newcastle,2021
18961,D. Burn,Daniel Johnson Burn,31,England,Newcastle,2021
19076,J. Lewis,Jamal Piaras Lewis,25,Northern Ireland,Newcastle,2021
44912,M. Gillespie,Mark Joseph Gillespie,31,England,Newcastle,2021
152982,C. Palmer,Cole Jermaine Palmer,21,England,Manchester City,2021
171058,H. Ashby,Harrison Charles Ashby,22,Scotland,West Ham,2021
723,Joelinton,Joelinton Cassio Apolinário de Lira,27,Brazil,Newcastle,2021
742,R. Varane,Raphaël Xavier Varane,30,France,Manchester United,2021
882,David de Gea,David de Gea Quintana,33,Spain,Manchester United,2021
888,P. Jones,Phil Anthony Jones,31,England,Manchester United,2021
889,V. Lindelöf,Victor Jörgen Nilsson Lindelöf,29,Sweden,Manchester United,2021
1463,J. Willock,Joseph George Willock,24,England,Newcastle,2021
2507,M. Almirón,Miguel Ángel Almirón Rejala,29,Paraguay,Newcastle,2021
2930,J. Butland,Jack Butland,30,England,Crystal Palace,2021
2931,T. Heaton,Thomas David Heaton,37,England,Manchester United,2021
2935,H. Maguire,Jacob Harry Maguire,30,England,Manchester United,2021
2939,C. Wilson,Callum Eddie Graham Wilson,31,England,Newcastle,2021
10135,Bruno Guimarães,Bruno Guimarães Rodriguez Moura,26,Brazil,Newcastle,2021
18873,R. Fraser,Ryan Fraser,29,Scotland,Newcastle,2021
18901,S. Longstaff,Sean David Longstaff,26,England,Newcastle,2021
18903,M. Ritchie,Matthew Thomas Ritchie,34,Scotland,Newcastle,2021
19163,J. Murphy,Jacob Kai Murphy,28,England,Newcastle,2021
22173,A. Saint-Maximin,Allan Irénée Saint-Maximin,26,France,Newcastle,2021
130419,M. Longstaff,Matthew Ben Longstaff,23,England,Newcastle,2021
138787,A. Gordon,Anthony Michael Gordon,22,England,Everton,2021
138908,E. Anderson,Elliot Anderson,21,Scotland,Newcastle,2021
18,J. Sancho,Jadon Malik Sancho,23,England,Manchester United,2021
159,H. Lloris,Hugo Hadrien Dominique Lloris,37,France,Tottenham,2021
161,A. Whiteman,Alfie Malik Whiteman,25,England,Tottenham,2021
174,C. Eriksen,Christian Dannemann Eriksen,31,Denmark,Brentford,2021
547,D. van de Beek,Donny van de Beek,26,Netherlands,Everton,2021
886,Diogo Dalot,José Diogo Dalot Teixeira,24,Portugal,Manchester United,2021
891,L. Shaw,Luke Paul Hoare Shaw,28,England,Manchester United,2021
903,S. McTominay,Scott Francis McTominay,27,Scotland,Manchester United,2021
905,Fred,Frederico Rodrigues de Paula Santos,30,Brazil,Manchester United,2021
908,A. Martial,Anthony Jordan Martial,28,France,Manchester United,2021
909,M. Rashford,Marcus Rashford,26,England,Manchester United,2021
1485,Bruno Fernandes,Bruno Miguel Borges Fernandes,29,Portugal,Manchester United,2021
18846,A. Wan-Bissaka,Aaron Wan-Bissaka,26,England,Manchester United,2021
18932,F. Forster,Fraser Gerard Forster,35,England,Southampton,2021
25416,W. Weghorst,Wout Weghorst,31,Netherlands,Burnley,2021
138806,B. Williams,Brandon Paul Brian Williams,23,England,Norwich,2021
153430,A. Elanga,Anthony David Junior Elanga,21,Sweden,Manchester United,2021
156428,B. Austin,Brandon Anthony Austin,24,England,Tottenham,2021
284295,Zidane Iqbal,Zidane Aamar Iqbal,20,Iraq,Manchester United,2021
284324,A. Garnacho,Alejandro Garnacho Ferreyra,19,Argentina,Manchester United,2021
295,A. Lallana,Adam David Lallana,35,England,Brighton,2021
537,J. Veltman,Joël Ivo Veltman,31,Netherlands,Brighton,2021
983,L. Bailey,Leon Patrick Bailey Butler,26,Jamaica,Aston Villa,2021
1469,D. Welbeck,Daniel Nii Tackie Mensah Welbeck,33,England,Brighton,2021
6716,A. Mac Allister,Alexis Mac Allister,25,Argentina,Brighton,2021
18959,Robert Sánchez,Robert Lynch Sánchez,26,Spain,Brighton,2021
18960,J. Steele,Jason Sean Steele,33,England,Brighton,2021
18963,L. Dunk,Lewis Carl Dunk,32,England,Brighton,2021
18970,P. Groß,Pascal Groß,32,Germany,Brighton,2021
18973,S. March,Solomon Benjamin March,29,England,Brighton,2021
19265,A. Webster,Adam Harry Webster,28,England,Brighton,2021
40911,J. Moder,Jakub Piotr Moder,24,Poland,Brighton,2021
116117,M. Caicedo,Moisés Isaac Caicedo Corozo,22,Ecuador,Brighton,2021
129643,E. Ferguson,Evan Joe Ferguson,19,Republic of Ireland,Brighton,2021
130423,B. Gilmour,Billy Clifford Gilmour,22,Scotland,Norwich,2021
137220,A. Moran,Andrew Moran,20,Republic of Ireland,Brighton,2021
138815,T. Lamptey,Tariq Kwame Nii-Lante Lamptey,23,Ghana,Brighton,2021
167663,T. McGill,Thomas Peter Wayne McGill,23,Canada,Brighton,2021
202086,J. Sarmiento,Jeremy Leonel Sarmiento Morante,21,Ecuador,Brighton,2021
282254,O. Offiah,Odeluga Joshua Offiah,21,England,Brighton,2021
164,B. Davies,Benjamin Thomas Davies,30,Wales,Tottenham,2021
175,E. Dier,Eric Jeremy Edgar Dier,29,England,Tottenham,2021
178,Lucas Moura,Lucas Rodrigues Moura da Silva,31,Brazil,Tottenham,2021
180,O. Skipp,Oliver William Skipp,23,England,Tottenham,2021
184,H. Kane,Harry Edward Kane,30,England,Tottenham,2021
186,Son Heung-Min,Heung-Min Son,31,Korea Republic,Tottenham,2021
863,R. Bentancur,Rodrigo Bentancur Colmán,26,Uruguay,Tottenham,2021
1566,Emerson,Emerson Aparecido Leite de Souza Junior,24,Brazil,Tottenham,2021
2413,Richarlison,Richarlison de Andrade,26,Brazil,Everton,2021
2735,P. Højbjerg,Pierre-Emile Kordt Højbjerg,28,Denmark,Tottenham,2021
18968,Y. Bissouma,Yves Bissouma,27,Mali,Brighton,2021
19032,R. Sessegnon,Kouassi Ryan Sessegnon,23,England,Tottenham,2021
30435,D. Kulusevski,Dejan Kulusevski,23,Sweden,Tottenham,2021
